place_name,category,cost_category,indoor_outdoor,popularity_rating,destination_city
Muthupet Mangrove Forest,Nature Lover / Adventure Seeker,Mid-range,outdoor,4,Villupuram
Suruttappalli Caves,Adventure Seeker / Culture Seeker,Budget,outdoor,2,Villupuram
Keeripallam Dam,Nature Lover / Relaxation Lover,Budget,outdoor,2,Villupuram
Palayarai Palace,Culture Seeker / Budget Backpacker,Budget,outdoor,2,Villupuram
Thiruvakkarai Agnipureeswarar Temple,Spiritual Traveler / Culture Seeker,Budget,both,2,Villupuram
Jambukeswarar Temple Complex,Spiritual Traveler / Culture Seeker,Budget,both,2,Villupuram
Chinnamalai Market,Shopper / Urban Explorer / Foodie,Budget,outdoor,2,Villupuram
Auroville Film Institute,Culture Seeker / Family Planner,Mid-range,indoor,2,Villupuram
Auroville Art Gallery,Culture Seeker / Relaxation Lover,Budget,indoor,2,Villupuram
Svaram Musical Instrument Workshop,Culture Seeker / Family Planner,Mid-range,indoor,2,Villupuram
Auroville Pottery Centre,Culture Seeker / Shopper,Budget,indoor,2,Villupuram
Naturellement Garden Cafe,Foodie / Relaxation Lover,Mid-range,both,2,Villupuram
Aurelec Solar Workshop,Culture Seeker / Family Planner,Budget,indoor,2,Villupuram
Auroville Learning Centre,Culture Seeker / Family Planner,Budget,indoor,2,Villupuram
Hotel Sangam Villupuram,Foodie / Budget Backpacker,Budget,indoor,1,Villupuram
A2B Adyar Ananda Bhavan Villupuram,Foodie / Budget Backpacker,Budget,indoor,1,Villupuram
Sri Krishna Sweets Villupuram,Foodie / Budget Backpacker,Budget,indoor,1,Villupuram
Sree Annapoorna Sree Gowrishankar,Foodie / Budget Backpacker,Budget,indoor,1,Villupuram
Cafe Illusion Auroville,Foodie / Romantic Couple,Mid-range,indoor,2,Villupuram
Crepe d'Avallon Auroville,Foodie / Relaxation Lover,Mid-range,indoor,2,Villupuram
Kalvarayan Hills Viewpoint,Nature Lover / Romantic Couple,Budget,outdoor,1,Villupuram
Kalvarayan Waterfalls,Nature Lover / Adventure Seeker,Budget,outdoor,3,Villupuram
Gingee Archaeological Museum,Culture Seeker / Family Planner,Budget,indoor,2,Villupuram
Ousteri Lake Bird Watching,Nature Lover / Adventure Seeker,Budget,outdoor,3,Villupuram
Ousteri Lake Boating,Adventure Seeker / Nature Lover,Mid-range,outdoor,2,Villupuram
Marakkanam Beach Sunrise Point,Nature Lover / Romantic Couple,Budget,outdoor,1,Villupuram
Villupuram Railway Junction Heritage,Culture Seeker / Budget Backpacker,Budget,outdoor,1,Villupuram
Auroville International Zone,Culture Seeker / Family Planner,Budget,outdoor,2,Villupuram
Unity Pavilion Auroville,Culture Seeker / Spiritual Traveler,Budget,indoor,2,Villupuram
Auroville Amphitheatre,Culture Seeker / Family Planner,Budget,outdoor,2,Villupuram
Pichavaram Mangrove Kayaking,Adventure Seeker / Nature Lover,Mid-range,outdoor,3,Villupuram
Gingee Sunset Point,Nature Lover / Romantic Couple,Budget,outdoor,1,Villupuram
Kalvarayan Tribal Village Tour,Culture Seeker / Adventure Seeker,Budget,outdoor,4,Villupuram
Auroville Outreach Media,Culture Seeker / Family Planner,Budget,indoor,1,Villupuram
Marakkanam Fish Market,Culture Seeker / Foodie,Budget,outdoor,2,Villupuram
Krishnagiri Fort,Culture Seeker / Adventure Seeker,Budget,outdoor,3,Krishnagiri
Rayakottah Fort,Adventure Seeker / Culture Seeker,Budget,outdoor,3,Krishnagiri
Krishnagiri Government Museum,Culture Seeker / Budget Backpacker,Budget,indoor,2,Krishnagiri
Shree Parshwa Padmavathi Shaktipeet,Spiritual Traveler / Culture Seeker,Mid-range,both,3,Krishnagiri
Sri Kattu Veera Anjaneya Temple,Spiritual Traveler / Culture Seeker,Budget,both,2,Krishnagiri
Chandra Choodeswarar Temple Hosur,Spiritual Traveler / Adventure Seeker,Budget,both,2,Krishnagiri
Dakshina Tirupati Temple,Spiritual Traveler / Culture Seeker,Budget,both,2,Krishnagiri
Arulmigu Maragathamigai Temple,Spiritual Traveler / Culture Seeker,Budget,both,2,Krishnagiri
Ganesh Temple Krishnagiri Fort,Spiritual Traveler / Culture Seeker,Budget,both,1,Krishnagiri
Narasimha Temple Krishnagiri,Spiritual Traveler / Culture Seeker,Budget,both,1,Krishnagiri
Pettaraya Swamy Temple,Spiritual Traveler / Culture Seeker,Budget,both,1,Krishnagiri
Jain Basadi Krishnagiri,Spiritual Traveler / Culture Seeker,Budget,both,1,Krishnagiri
Krishnagiri Dam,Nature Lover / Relaxation Lover,Budget,outdoor,2,Krishnagiri
KRP Dam Park,Nature Lover / Family Planner,Budget,outdoor,2,Krishnagiri
Kelavarapalli Dam,Nature Lover / Relaxation Lover,Budget,outdoor,2,Krishnagiri
Thally Reservoir,Nature Lover / Romantic Couple,Budget,outdoor,2,Krishnagiri
Anchetty Dam,Nature Lover / Relaxation Lover,Budget,outdoor,2,Krishnagiri
Javadi Hills,Adventure Seeker / Nature Lover,Mid-range,outdoor,5,Krishnagiri
Aiyur Eco Tourism Park,Nature Lover / Family Planner,Mid-range,outdoor,4,Krishnagiri
Thally Garden,Nature Lover / Relaxation Lover,Budget,outdoor,2,Krishnagiri
Berigai Viewpoint,Nature Lover / Romantic Couple,Budget,outdoor,1,Krishnagiri
Doddametrai River Temple,Spiritual Traveler / Nature Lover,Budget,outdoor,2,Krishnagiri
Hogenakkal Falls,Nature Lover / Adventure Seeker,Mid-range,outdoor,4,Krishnagiri
Palacode Waterfalls,Nature Lover / Adventure Seeker,Budget,outdoor,3,Krishnagiri
Muthanallur Lake,Nature Lover / Relaxation Lover,Budget,outdoor,2,Krishnagiri
Avathanapatti Lake,Nature Lover / Relaxation Lover,Budget,outdoor,2,Krishnagiri
Krishnagiri Rose Garden,Nature Lover / Romantic Couple,Budget,outdoor,1,Krishnagiri
Hosur Deer Park,Nature Lover / Family Planner,Budget,outdoor,2,Krishnagiri
Brahma Hills Park,Nature Lover / Adventure Seeker,Budget,outdoor,2,Krishnagiri
Kelavarapalli Rock Garden,Nature Lover / Family Planner,Budget,outdoor,2,Krishnagiri
Krishnagiri Mango Market,Shopper / Urban Explorer / Foodie,Budget,outdoor,2,Krishnagiri
Hosur Main Market,Shopper / Urban Explorer,Budget,outdoor,2,Krishnagiri
Krishnagiri Central Market,Shopper / Urban Explorer / Budget Backpacker,Budget,outdoor,2,Krishnagiri
Saravana Bhavan Krishnagiri,Foodie / Budget Backpacker,Budget,indoor,1,Krishnagiri
Hotel Aryaas Krishnagiri,Foodie / Budget Backpacker,Budget,indoor,1,Krishnagiri
Adiga's Restaurant Hosur,Foodie / Budget Backpacker,Budget,indoor,1,Krishnagiri
Highway King Dhaba,Foodie / Culture Seeker,Mid-range,indoor,1,Krishnagiri
Barbeque Nation Hosur,Foodie / Romantic Couple,Premium,indoor,2,Krishnagiri
A2B Adyar Ananda Bhavan Hosur,Foodie / Budget Backpacker,Budget,indoor,1,Krishnagiri
Sangeetha Restaurant Krishnagiri,Foodie / Budget Backpacker,Budget,indoor,1,Krishnagiri
Hogenakkal Coracle Boat Ride,Adventure Seeker / Nature Lover,Mid-range,outdoor,2,Krishnagiri
Javadi Hills Trekking,Adventure Seeker / Nature Lover,Mid-range,outdoor,5,Krishnagiri
Hosur Industrial Tour,Culture Seeker / Budget Backpacker,Mid-range,outdoor,3,Krishnagiri
Dennakottai Valley,Nature Lover / Adventure Seeker,Budget,outdoor,3,Krishnagiri
Hanuman Thirtham,Spiritual Traveler / Nature Lover,Budget,outdoor,2,Krishnagiri
Krishnagiri Rose Garden Night View,Nature Lover / Romantic Couple,Budget,outdoor,1,Krishnagiri
Hosur Clock Tower,Culture Seeker / Shopper / Urban Explorer,Budget,outdoor,1,Krishnagiri
Anchetty Forest Reserve,Nature Lover / Adventure Seeker,Budget,outdoor,3,Krishnagiri
Kaveri Pattinm Temple,Spiritual Traveler / Culture Seeker,Budget,both,1,Krishnagiri
Thally Children's Park,Family Planner / Nature Lover,Budget,outdoor,2,Krishnagiri
Shoolagiri Temple,Spiritual Traveler / Adventure Seeker,Budget,both,3,Krishnagiri
Sayed Basha Hill,Adventure Seeker / Nature Lover,Budget,outdoor,3,Krishnagiri
Veppanapalli Dam,Nature Lover / Relaxation Lover,Budget,outdoor,2,Krishnagiri
Mallachandram Dolmens,Culture Seeker / Budget Backpacker,Budget,outdoor,2,Krishnagiri
Bargur Hills,Adventure Seeker / Nature Lover,Budget,outdoor,4,Krishnagiri
Shettyhalli Village,Nature Lover / Adventure Seeker,Budget,outdoor,3,Krishnagiri
Melagiri Hills,Adventure Seeker / Nature Lover,Mid-range,outdoor,5,Krishnagiri
Arulmigu Subramanya Swamy Temple Shoolagiri,Spiritual Traveler / Culture Seeker,Budget,both,2,Krishnagiri
Sri Lakshmi Narasimha Swamy Temple Hosur,Spiritual Traveler / Culture Seeker,Budget,both,2,Krishnagiri
Maha Ganapathi Temple Krishnagiri,Spiritual Traveler / Culture Seeker,Budget,both,1,Krishnagiri
Arulmigu Mariamman Temple Hosur,Spiritual Traveler / Culture Seeker,Budget,both,1,Krishnagiri
Sri Venkateswara Swamy Temple Hosur,Spiritual Traveler / Culture Seeker,Budget,both,2,Krishnagiri
Arulmigu Dodda Basavana Gudi,Spiritual Traveler / Culture Seeker,Budget,both,1,Krishnagiri
Thally Valley Viewpoint,Nature Lover / Romantic Couple,Budget,outdoor,1,Krishnagiri
Pennagaram Lake,Nature Lover / Relaxation Lover,Budget,outdoor,2,Krishnagiri
Barur Lake,Nature Lover / Relaxation Lover,Budget,outdoor,2,Krishnagiri
Hosur Municipal Park,Nature Lover / Family Planner,Budget,outdoor,2,Krishnagiri
KRP Dam Musical Fountain,Family Planner / Nature Lover,Mid-range,outdoor,1,Krishnagiri
Krishnagiri Children's Park,Family Planner / Nature Lover,Budget,outdoor,2,Krishnagiri
Belrayan Valley,Nature Lover / Adventure Seeker,Budget,outdoor,3,Krishnagiri
Hosur Lake,Nature Lover / Relaxation Lover,Budget,outdoor,2,Krishnagiri
Bommidi Forest,Nature Lover / Adventure Seeker,Budget,outdoor,3,Krishnagiri
Krishnagiri Town Hall,Culture Seeker / Shopper / Urban Explorer,Budget,indoor,1,Krishnagiri
Thally Hills Trekking,Adventure Seeker / Nature Lover,Mid-range,outdoor,4,Krishnagiri
Bargur Cave Temples,Spiritual Traveler / Adventure Seeker,Budget,outdoor,2,Krishnagiri
Sri Krishna Sweets Hosur,Foodie / Budget Backpacker,Budget,indoor,1,Krishnagiri
Hotel Vasantha Bhavan Krishnagiri,Foodie / Budget Backpacker,Budget,indoor,1,Krishnagiri
Grand Sweets Hosur,Foodie / Budget Backpacker,Budget,indoor,1,Krishnagiri
Sree Gowrishankar Restaurant,Foodie / Budget Backpacker,Budget,indoor,1,Krishnagiri
Highway Dhaba Krishnagiri,Foodie / Culture Seeker,Mid-range,indoor,1,Krishnagiri
Hotel Kannappa Krishnagiri,Foodie / Culture Seeker,Mid-range,indoor,1,Krishnagiri
Arya Bhavan Restaurant,Foodie / Budget Backpacker,Budget,indoor,1,Krishnagiri
Cafe Coffee Day Hosur,Foodie / Romantic Couple,Mid-range,indoor,1,Krishnagiri
Krishnagiri Textile Market,Shopper / Urban Explorer,Budget,indoor,2,Krishnagiri
Hosur SIPCOT Industrial Area,Culture Seeker / Budget Backpacker,Budget,outdoor,3,Krishnagiri
Denkanikottai Forest,Nature Lover / Adventure Seeker,Budget,outdoor,4,Krishnagiri
Hosur Flower Market,Shopper / Urban Explorer / Budget Backpacker,Budget,outdoor,1,Krishnagiri
Krishnagiri Bus Stand Market,Shopper / Urban Explorer / Foodie,Budget,outdoor,2,Krishnagiri
Sulagiri Fort Ruins,Culture Seeker / Adventure Seeker,Budget,outdoor,2,Krishnagiri
Anchetty Tribal Museum,Culture Seeker / Family Planner,Budget,indoor,2,Krishnagiri
Hosur Science Park,Family Planner / Culture Seeker,Budget,outdoor,2,Krishnagiri
Thally Tea Estates,Nature Lover / Relaxation Lover,Budget,outdoor,3,Krishnagiri
Krishnagiri Organic Farm Visit,Nature Lover / Family Planner,Mid-range,outdoor,3,Krishnagiri
Hogenakkal Medicinal Bath,Relaxation Lover / Spiritual Traveler,Mid-range,outdoor,2,Krishnagiri
Kaveripattinam Riverside,Nature Lover / Relaxation Lover,Budget,outdoor,2,Krishnagiri
Hosur Butterfly Park,Nature Lover / Family Planner,Budget,outdoor,2,Krishnagiri
Anchetty Viewpoint,Nature Lover / Romantic Couple,Budget,outdoor,1,Krishnagiri
Bargur Waterfalls,Nature Lover / Adventure Seeker,Budget,outdoor,3,Krishnagiri
Krishnagiri Sunset Point,Nature Lover / Romantic Couple,Budget,outdoor,1,Krishnagiri
Hosur Auto Hub Museum,Culture Seeker / Family Planner,Mid-range,indoor,2,Krishnagiri
Thindal Murugan Temple,Spiritual Traveler / Culture Seeker,Budget,both,2,Erode
Chennimalai Murugan Temple,Spiritual Traveler / Adventure Seeker,Mid-range,both,3,Erode
Bannari Amman Temple,Spiritual Traveler / Culture Seeker,Budget,both,2,Erode
Bhavani Sangameswarar Temple,Spiritual Traveler / Culture Seeker,Budget,both,2,Erode
Periya Mariamman Temple,Spiritual Traveler / Culture Seeker,Budget,both,2,Erode
Arudra Kabaliswarar Temple,Spiritual Traveler / Culture Seeker,Budget,both,2,Erode
Nattatreswaran Temple,Spiritual Traveler / Culture Seeker,Budget,both,1,Erode
Kodumudi Temples (Magudeshwarar & Veeranarayana),Spiritual Traveler / Culture Seeker,Budget,both,3,Erode
Pariyur Kondathu Kaliamman Temple,Spiritual Traveler / Culture Seeker,Budget,both,2,Erode
Kasthuri Ranganathar Temple,Spiritual Traveler / Culture Seeker,Budget,both,1,Erode
Bhavanisagar Dam,Nature Lover / Family Planner,Mid-range,outdoor,3,Erode
Kodiveri Dam,Nature Lover / Relaxation Lover,Budget,outdoor,3,Erode
Kalingarayan Anicut,Nature Lover / Relaxation Lover,Budget,outdoor,2,Erode
Lower Bhavani Project Dam,Nature Lover / Family Planner,Budget,outdoor,2,Erode
Kunderipallam Dam,Nature Lover / Adventure Seeker,Budget,outdoor,3,Erode
Kodiveri Waterfalls,Nature Lover / Adventure Seeker,Mid-range,outdoor,3,Erode
Kunderipallam Waterfalls,Adventure Seeker / Nature Lover,Budget,outdoor,3,Erode
Anthiyur Lake Waterfalls,Nature Lover / Romantic Couple,Budget,outdoor,2,Erode
Bhavani Kuttralam Falls,Nature Lover / Adventure Seeker,Budget,outdoor,2,Erode
Sathyamangalam Wildlife Sanctuary,Nature Lover / Adventure Seeker,Mid-range,outdoor,5,Erode
Vellode Bird Sanctuary,Nature Lover / Family Planner,Mid-range,outdoor,3,Erode
Bhavani Sagar Wildlife Sanctuary,Nature Lover / Adventure Seeker,Mid-range,outdoor,4,Erode
Sidheshwara Hills,Adventure Seeker / Nature Lover,Budget,outdoor,4,Erode
Bannari Viewpoint,Nature Lover / Romantic Couple,Budget,outdoor,1,Erode
Bhalammalai Hills,Adventure Seeker / Nature Lover,Budget,outdoor,3,Erode
Erode Fort,Culture Seeker / Budget Backpacker,Budget,outdoor,2,Erode
Erode Government Museum,Culture Seeker / Budget Backpacker,Budget,indoor,2,Erode
VOC Park Erode,Nature Lover / Family Planner,Budget,outdoor,2,Erode
Periya Kalyana Mandapam Park,Nature Lover / Relaxation Lover,Budget,outdoor,1,Erode
Erode Children's Park,Family Planner / Nature Lover,Budget,outdoor,2,Erode
Cauvery Botanical Garden,Nature Lover / Relaxation Lover,Budget,outdoor,2,Erode
Erode Turmeric Market,Culture Seeker / Shopper / Urban Explorer,Budget,outdoor,2,Erode
Erode Handloom Market,Shopper / Urban Explorer / Culture Seeker,Budget,indoor,2,Erode
Bhavani Pavadai Market,Shopper / Urban Explorer / Culture Seeker,Mid-range,indoor,2,Erode
Erode Central Market,Shopper / Urban Explorer / Foodie,Budget,outdoor,2,Erode
Saravana Bhavan Erode,Foodie / Budget Backpacker,Budget,indoor,1,Erode
Hotel Aryaas Erode,Foodie / Budget Backpacker,Budget,indoor,1,Erode
Ponram Restaurant,Foodie / Culture Seeker,Mid-range,indoor,1,Erode
A2B Adyar Ananda Bhavan Erode,Foodie / Budget Backpacker,Budget,indoor,1,Erode
Sri Krishna Sweets Erode,Foodie / Budget Backpacker,Budget,indoor,1,Erode
Sangeetha Restaurant Erode,Foodie / Budget Backpacker,Budget,indoor,1,Erode
Anjappar Chettinad Restaurant,Foodie / Culture Seeker,Mid-range,indoor,1,Erode
Kodiveri Coracle Boat Ride,Adventure Seeker / Nature Lover,Mid-range,outdoor,2,Erode
Sidheshwara Hills Trekking,Adventure Seeker / Nature Lover,Budget,outdoor,4,Erode
Bhavani-Cauvery Sangamam,Spiritual Traveler / Nature Lover,Budget,outdoor,2,Erode
Cauvery River View Point,Nature Lover / Romantic Couple,Budget,outdoor,1,Erode
Chennimalai Handloom Weaving Center,Culture Seeker / Shopper / Urban Explorer,Budget,indoor,2,Erode
Erode Town Hall,Culture Seeker / Budget Backpacker,Budget,indoor,1,Erode
Sathyamangalam Forest Reserve,Nature Lover / Adventure Seeker,Mid-range,outdoor,4,Erode
Bhavani River Bathing Ghat,Spiritual Traveler / Relaxation Lover,Budget,outdoor,1,Erode
Sri Kongalamman Temple,Spiritual Traveler / Culture Seeker,Budget,both,2,Erode
Arulmigu Ardhanareeswarar Temple,Spiritual Traveler / Culture Seeker,Budget,both,2,Erode
Jain Temple Erode,Spiritual Traveler / Culture Seeker,Budget,both,1,Erode
Brough Church Erode,Spiritual Traveler / Culture Seeker,Budget,both,1,Erode
Arulmigu Magudeswarar Temple Kodumudi,Spiritual Traveler / Culture Seeker,Budget,both,2,Erode
Arulmigu Veeranarayana Perumal Temple Kodumudi,Spiritual Traveler / Culture Seeker,Budget,both,2,Erode
Arulmigu Kasthuri Ranganatha Perumal Temple Inungur,Spiritual Traveler / Culture Seeker,Budget,both,2,Erode
Sri Venkatachalapathy Temple Modakurichi,Spiritual Traveler / Culture Seeker,Budget,both,1,Erode
Arulmigu Periya Nayagi Amman Temple,Spiritual Traveler / Culture Seeker,Budget,both,2,Erode
Lakshmi Narasimha Temple Gobichettipalayam,Spiritual Traveler / Culture Seeker,Budget,both,1,Erode
Perumpallam Dam,Nature Lover / Relaxation Lover,Budget,outdoor,2,Erode
Thadapalli Dam,Nature Lover / Relaxation Lover,Budget,outdoor,2,Erode
Noyyal River Viewpoint,Nature Lover / Relaxation Lover,Budget,outdoor,1,Erode
Ariyur Cauvery Bridge View,Nature Lover / Romantic Couple,Budget,outdoor,1,Erode
Sathyamangalam Tiger Reserve Safari,Nature Lover / Adventure Seeker,Premium,outdoor,4,Erode
Eratti Falls,Nature Lover / Adventure Seeker,Budget,outdoor,3,Erode
Monkey Falls Sathyamangalam,Nature Lover / Adventure Seeker,Budget,outdoor,2,Erode
Bannari Hills,Adventure Seeker / Nature Lover,Budget,outdoor,4,Erode
Hasanur Forest,Nature Lover / Adventure Seeker,Mid-range,outdoor,4,Erode
Vellimalai Hills,Adventure Seeker / Nature Lover,Budget,outdoor,3,Erode
Thalavadi Hills,Nature Lover / Adventure Seeker,Budget,outdoor,4,Erode
Sathyamangalam Forest Trekking,Adventure Seeker / Nature Lover,Mid-range,outdoor,5,Erode
VOC Zoo Erode,Family Planner / Nature Lover,Budget,outdoor,2,Erode
Bhavani Island Park,Nature Lover / Family Planner,Budget,outdoor,2,Erode
Gobichettipalayam Municipal Park,Nature Lover / Family Planner,Budget,outdoor,1,Erode
Chithirai Car Festival Ground,Culture Seeker / Spiritual Traveler,Budget,outdoor,2,Erode
Erode Collectorate Museum,Culture Seeker / Budget Backpacker,Budget,indoor,1,Erode
Bannari Textile Park,Culture Seeker / Shopper,Budget,indoor,2,Erode
Chennimalai Textile Showroom,Shopper / Urban Explorer / Culture Seeker,Budget,indoor,2,Erode
Erode Textile Complex,Shopper / Urban Explorer,Budget,indoor,2,Erode
Bhavani Cotton Market,Shopper / Urban Explorer / Culture Seeker,Budget,outdoor,2,Erode
Gobichettipalayam Silk Market,Shopper / Urban Explorer,Mid-range,indoor,2,Erode
Hotel Vasantha Bhavan Erode,Foodie / Budget Backpacker,Budget,indoor,1,Erode
Junior Kuppanna Erode,Foodie / Culture Seeker,Mid-range,indoor,1,Erode
Sree Annapoorna Erode,Foodie / Budget Backpacker,Budget,indoor,1,Erode
Grand Sweets Erode,Foodie / Budget Backpacker,Budget,indoor,1,Erode
Cafe Coffee Day Erode,Foodie / Romantic Couple,Mid-range,indoor,1,Erode
Chill Out Theme Park,Family Planner / Adventure Seeker,Mid-range,outdoor,4,Erode
Bhavani River Kayaking,Adventure Seeker / Nature Lover,Mid-range,outdoor,2,Erode
Kalingarayan Anicut Picnic Spot,Nature Lover / Family Planner,Budget,outdoor,3,Erode
Lower Bhavani Canal Walk,Nature Lover / Relaxation Lover,Budget,outdoor,2,Erode
Erode Railway Heritage,Culture Seeker / Budget Backpacker,Budget,outdoor,1,Erode
Bhavani Kuttralam Trekking,Adventure Seeker / Nature Lover,Budget,outdoor,3,Erode
Chennimalai Hills Sunrise Point,Nature Lover / Romantic Couple,Budget,outdoor,2,Erode
Gobichettipalayam Clock Tower,Culture Seeker / Shopper / Urban Explorer,Budget,outdoor,1,Erode
Anthiyur Tribal Village,Culture Seeker / Adventure Seeker,Budget,outdoor,3,Erode
Thalavadi Wildlife Spotting,Nature Lover / Adventure Seeker,Mid-range,outdoor,4,Erode
Modakurichi Handloom Center,Culture Seeker / Shopper,Budget,indoor,2,Erode
Bhavani Sagar Sunset Point,Nature Lover / Romantic Couple,Budget,outdoor,1,Erode
Erode Municipal Stadium,Family Planner / Culture Seeker,Budget,outdoor,2,Erode
Ooty Lake,Nature Lover / Family Planner,Mid-range,outdoor,3,Nilgiris
Pykara Lake,Nature Lover / Relaxation Lover,Mid-range,outdoor,3,Nilgiris
Emerald Lake,Nature Lover / Romantic Couple,Budget,outdoor,2,Nilgiris
Avalanche Lake,Nature Lover / Adventure Seeker,Mid-range,outdoor,4,Nilgiris
Upper Bhavani Lake,Adventure Seeker / Nature Lover,Mid-range,outdoor,5,Nilgiris
Government Botanical Garden Ooty,Nature Lover / Family Planner,Mid-range,outdoor,3,Nilgiris
Rose Garden Ooty,Nature Lover / Romantic Couple,Budget,outdoor,2,Nilgiris
Sims Park Coonoor,Nature Lover / Family Planner,Budget,outdoor,2,Nilgiris
Thread Garden Ooty,Culture Seeker / Family Planner,Budget,indoor,1,Nilgiris
Doddabetta Peak,Adventure Seeker / Nature Lover,Budget,outdoor,3,Nilgiris
Dolphin's Nose Coonoor,Adventure Seeker / Nature Lover,Mid-range,outdoor,2,Nilgiris
Lamb's Rock Coonoor,Nature Lover / Romantic Couple,Budget,outdoor,1,Nilgiris
Kodanad Viewpoint Kotagiri,Nature Lover / Romantic Couple,Budget,outdoor,2,Nilgiris
Rangaswamy Peak Kotagiri,Adventure Seeker / Spiritual Traveler,Budget,outdoor,3,Nilgiris
Tiger Hill Ooty,Nature Lover / Adventure Seeker,Budget,outdoor,2,Nilgiris
Catherine Falls,Nature Lover / Adventure Seeker,Budget,outdoor,2,Nilgiris
Pykara Waterfalls,Nature Lover / Adventure Seeker,Mid-range,outdoor,3,Nilgiris
Kalhatti Falls,Nature Lover / Spiritual Traveler,Budget,outdoor,2,Nilgiris
Elk Falls Kotagiri,Adventure Seeker / Nature Lover,Budget,outdoor,3,Nilgiris
Law's Falls Coonoor,Nature Lover / Romantic Couple,Budget,outdoor,2,Nilgiris
Mudumalai Tiger Reserve,Nature Lover / Adventure Seeker,Mid-range,outdoor,5,Nilgiris
Mukurthi National Park,Nature Lover / Adventure Seeker,Mid-range,outdoor,4,Nilgiris
Longwood Shola Reserve,Nature Lover / Adventure Seeker,Budget,outdoor,3,Nilgiris
Kotagiri Tea Estates,Nature Lover / Relaxation Lover,Mid-range,outdoor,3,Nilgiris
Coonoor Tea Gardens,Nature Lover / Romantic Couple,Budget,outdoor,2,Nilgiris
Glenmorgan Tea Estate,Culture Seeker / Nature Lover,Mid-range,outdoor,3,Nilgiris
Stone House Ooty,Culture Seeker / Budget Backpacker,Budget,outdoor,1,Nilgiris
Droog Fort Coonoor,Adventure Seeker / Culture Seeker,Budget,outdoor,3,Nilgiris
St. Stephen's Church Ooty,Culture Seeker / Spiritual Traveler,Budget,both,1,Nilgiris
Tribal Research Center,Culture Seeker / Family Planner,Budget,indoor,2,Nilgiris
Wax World Museum,Culture Seeker / Family Planner,Mid-range,indoor,2,Nilgiris
Tea Museum Coonoor,Culture Seeker / Foodie,Budget,indoor,2,Nilgiris
Nilgiri Mountain Railway,Culture Seeker / Family Planner,Mid-range,outdoor,5,Nilgiris
Avalanche Trekking Trail,Adventure Seeker / Nature Lover,Mid-range,outdoor,5,Nilgiris
Ooty Lake Boating,Family Planner / Romantic Couple,Mid-range,outdoor,2,Nilgiris
Pine Forest Ooty,Nature Lover / Romantic Couple,Budget,outdoor,2,Nilgiris
Ooty Main Bazaar,Shopper / Urban Explorer / Foodie,Budget,outdoor,2,Nilgiris
Coonoor Market,Shopper / Urban Explorer,Budget,outdoor,2,Nilgiris
Tibetan Market Ooty,Shopper / Urban Explorer / Culture Seeker,Budget,outdoor,2,Nilgiris
Earl's Secret Ooty,Foodie / Romantic Couple,Premium,indoor,2,Nilgiris
Nahar's Sidewalk Cafe,Foodie / Relaxation Lover,Mid-range,indoor,2,Nilgiris
Hyderabad Biryani House,Foodie / Budget Backpacker,Budget,indoor,1,Nilgiris
Willy's Coffee Pub,Foodie / Budget Backpacker,Budget,indoor,1,Nilgiris
Place To Bee Cafe,Foodie / Romantic Couple,Mid-range,indoor,2,Nilgiris
Hotel Pankaj Bhojanalaya,Foodie / Budget Backpacker,Budget,indoor,1,Nilgiris
Ketti Valley View,Nature Lover / Romantic Couple,Budget,outdoor,1,Nilgiris
6th Mile Coonoor,Nature Lover / Family Planner,Budget,outdoor,2,Nilgiris
Wenlock Downs,Nature Lover / Adventure Seeker,Budget,outdoor,3,Nilgiris
Deer Park Ooty,Family Planner / Nature Lover,Budget,outdoor,2,Nilgiris
All Saints Church Coonoor,Culture Seeker / Spiritual Traveler,Budget,both,1,Nilgiris
Needle Rock Viewpoint Gudalur,Nature Lover / Romantic Couple,Budget,outdoor,1,Nilgiris
Annamalai Murugan Temple,Spiritual Traveler / Culture Seeker,Budget,both,2,Nilgiris
Ooty Golf Course,Adventure Seeker / Relaxation Lover,Premium,outdoor,4,Nilgiris
Thunder World Ooty,Family Planner / Adventure Seeker,Mid-range,indoor,3,Nilgiris
Glenmorgan,Nature Lover / Romantic Couple,Budget,outdoor,2,Nilgiris
Highfield Tea Factory,Culture Seeker / Foodie,Mid-range,indoor,2,Nilgiris
Kamraj Sagar Dam Ooty,Nature Lover / Relaxation Lover,Budget,outdoor,2,Nilgiris
Shooting Point Ooty,Nature Lover / Romantic Couple,Budget,outdoor,1,Nilgiris
St. Thomas Church Ooty,Culture Seeker / Spiritual Traveler,Budget,both,1,Nilgiris
Sim's Park Rose Garden,Nature Lover / Romantic Couple,Budget,outdoor,2,Nilgiris
Lady Canning's Seat,Nature Lover / Romantic Couple,Budget,outdoor,1,Nilgiris
Kagguchi Lake,Nature Lover / Relaxation Lover,Budget,outdoor,2,Nilgiris
Parson's Valley Viewpoint,Nature Lover / Romantic Couple,Budget,outdoor,1,Nilgiris
Marlimund Lake,Nature Lover / Adventure Seeker,Budget,outdoor,3,Nilgiris
Singara Park Ooty,Nature Lover / Family Planner,Budget,outdoor,2,Nilgiris
Ananda Grotto Ooty,Nature Lover / Relaxation Lover,Budget,outdoor,1,Nilgiris
Cairn Hill Coonoor,Adventure Seeker / Nature Lover,Budget,outdoor,3,Nilgiris
Srinivasa Perumal Temple Ooty,Spiritual Traveler / Culture Seeker,Budget,both,1,Nilgiris
